Регион;Округ;Год;Направления реализации государственной молодeжной политики;№ строки; Бюджет СРФ, руб ; Бюджет МО, руб ; Кол-во грантов ; Бюджет грантов, руб ; Численность молодeжи, задействованной в программных мероприятиях по направлению ; Количество детских и молодeжных общественных объединений, работающих по данному  ;;;
Амурская область;ДФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14; 2 007 150 ; 462 808 ; -   ; -   ; 13 959 ; 44 ;;;
Амурская область;ДФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15; -   ; 559 439 ; 3 ; 293 830 ; 14 085 ;;;;
Амурская область;ДФО;2021;Формирование у молодeжи семейных ценностей;16; -   ; 777 447 ; -   ; -   ; 8 679 ; 52 ;;;
Амурская область;ДФО;2021;Патриотическое воспитание молодeжи, в том числе:;17; 1 070 000 ; 1 694 369 ; -   ; -   ; 36 178 ; 284 ;;;
Амурская область;ДФО;2021;"      на развитие и мероприятия
      военно-патриотических клубов";18; 35 000 ; 663 109 ; -   ; -   ; 6 935 ; 87 ;;;
Амурская область;ДФО;2021;      поисковых отрядов и объединений;19; -   ; 10 000 ; -   ; -   ; 3 115 ; 11 ;;;
Амурская область;ДФО;2021;      историко-краеведческих кружков и объединений исторической реконструкции;20; -   ; 39 000 ; -   ; -   ; 785 ; 32 ;;;
Амурская область;ДФО;2021;      молодeжных казачьих объединений;21; -   ; 10 000 ; -   ; -   ; 84 ; 4 ;;;
Амурская область;ДФО;2021;"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи";22; 755 000 ; 119 329 ; -   ; -   ; 11 393 ; 115 ;;;
Амурская область;ДФО;2021;      другие;23; 280 000 ; 852 931 ; -   ; -   ; 13 866 ; 35 ;;;
Амурская область;ДФО;2021;Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу;24; 180 000 ; 351 733 ; -   ; -   ; 19 750 ; 38 ;;;
Амурская область;ДФО;2021;Вовлечение молодeжи в волонтeрскую деятельность;25; 1 450 000 ; 1 805 650 ; -   ; -   ; 32 259 ; 145 ;;;
Амурская область;ДФО;2021;Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде;26; -   ; 3 059 463 ; 6 ; 580 300 ; 68 264 ; 296 ;;;
Амурская область;ДФО;2021;Развитие молодeжного самоуправления;27; 675 000 ; 788 110 ; -   ; -   ; 14 173 ;;;;
Архангельская область;СЗФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1; -   ; 148 300 ; -   ; -   ; 19 539 ; 876 ;;;
Архангельская область;СЗФО;2021;      биомедицина;2; -   ; -   ; -   ; -   ; 210 ; 1 ;;;
Архангельская область;СЗФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3; -   ; -   ; -   ; -   ; 62 ; 1 ;;;
Архангельская область;СЗФО;2021;      аэрокосмос;4; -   ; -   ; -   ; -   ; -   ;;;;
Архангельская область;СЗФО;2021;      сельское хозяйство;5; -   ; -   ; -   ; -   ; -   ;;;;
Архангельская область;СЗФО;2021;"      информационные технологии - IT
      (в том числе робототехника)";6; -   ; 148 300 ; -   ; -   ; 18 877 ; 859 ;;;
Архангельская область;СЗФО;2021;      другое;7; -   ; -   ; -   ; -   ; 390 ; 15 ;;;
Архангельская область;СЗФО;2021;Социализация молодeжи, нуждающейся в особой заботе государства;8; 23 700 ; 172 994 ; 12 ; 1 734 111 ; 2 199 ; 17 ;;;
Архангельская область;СЗФО;2021;Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа);9; 5 527 922 ; 411 871 ; 14 ; 1 268 931 ; 3 368 ; 43 ;;;
Архангельская область;СЗФО;2021;Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики;10; 850 000 ; 166 300 ; -   ; -   ; 30 ;;;;
Архангельская область;СЗФО;2021;Развитие международного и межрегионального молодeжного сотрудничества;11; 965 801 ; 41 944 ; -   ; -   ; 704 ; 21 ;;;
Архангельская область;СЗФО;2021;Работа с молодeжью, находящейся в социально-опасном положении;12; 11 300 ; 879 531 ; 4 ; 579 581 ; 2 288 ; 39 ;;;
Архангельская область;СЗФО;2021;Вовлечение молодeжи в занятие творческой деятельностью;13; 32 938 134 ; 2 077 162 ; 21 ; 2 127 094 ; 63 703 ; 3 371 ;;;
Архангельская область;СЗФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14; 19 229 124 ; 1 034 738 ; 10 ; 1 480 501 ; 24 037 ; 24 ;;;
Архангельская область;СЗФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15; 36 280 176 ; 212 200 ; 25 ; 8 673 136 ; 70 982 ;;;;
Архангельская область;СЗФО;2021;Формирование у молодeжи семейных ценностей;16; 235 500 ; 516 908 ; 2 ; 192 100 ; 9 779 ; 36 ;;;
Архангельская область;СЗФО;2021;Патриотическое воспитание молодeжи, в том числе:;17; 129 751 030 ; 2 495 258 ; 71 ; 10 886 196 ; 65 918 ; 1 548 ;;;
